name_of_dish,ingredients,preparation_time,cooking_time,course,cuisine_state,method,url,flavour_type
Kokum Sharbat,"kokum, sugar, black salt, cumin, ginger, water",30 minutes (soaking),10 minutes,Beverage,Goa,"Soak kokum in water until soft. | Extract the liquid and strain. | Add sugar, black salt and cumin. | Add grated ginger. | Serve chilled as a digestive.",https://www.vegrecipesofindia.com/wp-content/uploads/kokum-sharbat-recipe.jpg,Tangy & Sweet
Masala Chai,"tea leaves, milk, water, ginger, cardamom, cinnamon, cloves, pepper, sugar",5 minutes,10 minutes,Beverage,North Indian,"Crush ginger, cardamom, cloves and cinnamon coarsely. | Boil water and add the crushed spices. | Simmer for 2 minutes until fragrant. | Add tea leaves and boil for a minute. | Pour in milk and bring to a rolling boil. | Reduce heat and simmer for 3 minutes. | Strain into cups and add sugar to taste.",https://www.vegrecipesofindia.com/wp-content/uploads/masala-chai-recipe.jpg,Spiced & Sweet
Haldi Doodh,"milk, turmeric, ginger, black pepper, cinnamon, honey",5 minutes,5 minutes,Beverage,North Indian,"Heat milk. | Add turmeric, ginger, pepper and cinnamon. | Stir and heat until fragrant. | Strain if desired. | Add honey and serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/haldi-doodh-recipe.jpg,Warm & Earthy
Kesar Milk,"full fat milk, saffron, sugar, cardamom, pistachios, almonds",5 minutes,10 minutes,Beverage,Rajasthan,"Soak saffron in warm milk. | Heat remaining milk. | Add saffron milk, sugar and cardamom. | Stir well. | Garnish with nuts. | Serve warm or cold.",https://www.vegrecipesofindia.com/wp-content/uploads/kesar-milk-recipe.jpg,Sweet & Aromatic
Cucumber Raita,"yogurt, cucumber, cumin, black salt, green chilli, coriander, mint",10 minutes,0 minutes,Side Dish,North Indian,"Whisk yogurt until smooth. | Grate or chop cucumber. | Mix into yogurt. | Add roasted cumin, black salt and green chilli. | Garnish with coriander and mint. | Serve chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/cucumber-raita-recipe.jpg,Cool & Mild
Boondi Raita,"yogurt, boondi, cumin, black salt, red chilli powder, coriander",10 minutes,0 minutes,Side Dish,North Indian,"Soak readymade boondi in water for 5 minutes until soft. | Squeeze out excess water gently. | Whisk yogurt until smooth and creamy. | Add salt, roasted cumin powder and black salt. | Mix in the softened boondi. | Add chopped coriander and green chilli. | Garnish with red chilli powder and serve chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/boondi-raita-recipe.jpg,Cool & Mild
Aloo Raita,"yogurt, boiled potato, cumin, black salt, green chilli, coriander, red chilli powder",10 minutes,0 minutes,Side Dish,North Indian,Boil potatoes until just tender and cool completely. | Peel and cut into small cubes. | Whisk yogurt until smooth with salt and cumin powder. | Add black salt and chaat masala. | Fold in potato cubes and green chilli. | Add roasted cumin powder and coriander. | Serve chilled garnished with red chilli powder.,https://www.vegrecipesofindia.com/wp-content/uploads/aloo-raita-recipe.jpg,Cool & Mild
Mint Chutney,"mint leaves, coriander, green chilli, ginger, garlic, lemon juice, salt",10 minutes,0 minutes,Condiment,North Indian,"Blend mint, coriander, green chilli, ginger and garlic. | Add lemon juice and salt. | Blend to smooth paste. | Adjust consistency. | Serve fresh.",https://www.vegrecipesofindia.com/wp-content/uploads/mint-chutney-recipe.jpg,Fresh & Tangy
Tamarind Chutney,"tamarind, jaggery, cumin, ginger powder, black salt, red chilli, water",15 minutes,15 minutes,Condiment,North Indian,"Soak tamarind in warm water and extract thick pulp. | Cook tamarind pulp with jaggery on low flame. | Add roasted cumin powder, black salt and dry ginger. | Add red chilli powder to taste. | Simmer until chutney thickens to coating consistency. | Cool completely and store in a jar. | Use as a dipping sauce or chaat topping.",https://www.vegrecipesofindia.com/wp-content/uploads/tamarind-chutney-recipe.jpg,Sweet & Tangy
Coconut Chutney,"grated coconut, green chilli, ginger, roasted chana, mustard seeds, curry leaves, oil, salt",10 minutes,5 minutes,Condiment,Tamil Nadu,"Blend coconut with chilli, ginger and roasted chana. | Add water and blend smooth. | Add salt. | Temper mustard seeds and curry leaves. | Mix into chutney. | Serve with idli or dosa.",https://www.vegrecipesofindia.com/wp-content/uploads/coconut-chutney-recipe.jpg,Mild & Coconuty
Tomato Chutney,"tomato, onion, dry red chilli, garlic, mustard seeds, curry leaves, oil, salt",10 minutes,15 minutes,Condiment,Tamil Nadu,"Saut̩ onion, garlic and tomatoes. | Add dry red chilli and cook. | Cool and blend. | Temper mustard seeds and curry leaves. | Mix into chutney. | Serve.",https://www.vegrecipesofindia.com/wp-content/uploads/tomato-chutney-recipe.jpg,Tangy & Spiced
Peanut Chutney,"roasted peanuts, green chilli, garlic, tamarind, mustard seeds, curry leaves, oil, salt",10 minutes,5 minutes,Condiment,Andhra Pradesh,"Blend roasted peanuts with green chilli, garlic and tamarind. | Add water and salt and blend smooth. | Temper mustard seeds and curry leaves. | Mix into chutney. | Serve.",https://www.vegrecipesofindia.com/wp-content/uploads/peanut-chutney-recipe.jpg,Nutty & Tangy
Gongura Chutney,"gongura (sorrel) leaves, dry red chilli, garlic, mustard seeds, curry leaves, oil, salt",10 minutes,15 minutes,Condiment,Andhra Pradesh,"Wash gongura leaves and dry completely. | Heat oil and fry dried red chillies, garlic and cumin. | Add gongura leaves and fry until wilted. | Cool completely and grind coarsely. | Prepare tempering with mustard seeds and curry leaves. | Pour tempering over ground chutney. | Serve with rice or as a condiment.",https://www.vegrecipesofindia.com/wp-content/uploads/gongura-chutney-recipe.jpg,Tangy & Pungent
Lehsun Chutney,"garlic, red chilli powder, tamarind, cumin, oil, salt",10 minutes,5 minutes,Condiment,Rajasthan,"Grind garlic cloves with red chilli, cumin and salt. | Add tamarind water. | Mix to thick paste. | Heat oil and mix in. | Serve with roti or chaat.",https://www.vegrecipesofindia.com/wp-content/uploads/lehsun-chutney-recipe.jpg,Pungent & Spicy
Pudina Chutney (Dry),"dried mint, red chilli, cumin, fennel, amchur, black salt",10 minutes,0 minutes,Condiment,North Indian,"Dry roast dried mint leaves until crisp. | Dry roast cumin seeds and dried red chillies. | Cool completely and grind to a coarse powder. | Add black salt, amchur and sugar and mix. | Store in an airtight container. | Use as a dry chutney with snacks. | Can be sprinkled on chaats directly.",https://www.vegrecipesofindia.com/wp-content/uploads/dry-pudina-chutney-recipe.jpg,Minty & Tangy
Achari Aloo,"potato, pickling spices (mustard, fennel, fenugreek, nigella), yogurt, red chilli, oil, salt",10 minutes,25 minutes,Main Course,North Indian,"Heat oil and temper pickling spices. | Add boiled potato cubes. | Add yogurt, red chilli and salt. | Cook until oil separates. | Serve hot with roti.",https://www.vegrecipesofindia.com/wp-content/uploads/achari-aloo-recipe.jpg,Tangy & Spiced
Dum Aloo,"small potatoes, tomato, onion, yogurt, cream, whole spices, garam masala, kasuri methi, oil, salt",20 minutes,35 minutes,Main Course,Kashmir,"Prick small potatoes all over with a fork and deep fry until golden. | Make paste by grinding onion, tomato, cashews and spices. | Heat oil and cook the paste until oil separates. | Add yogurt and cook stirring well. | Add fried potatoes and mix to coat. | Add water and pressure cook briefly or simmer covered. | Garnish with coriander and cream.",https://www.vegrecipesofindia.com/wp-content/uploads/dum-aloo-recipe.jpg,Rich & Aromatic
Kashmiri Dum Aloo,"small potatoes, fennel powder, ginger powder, dry red chilli, yogurt, asafoetida, mustard oil, salt",15 minutes,30 minutes,Main Course,Kashmir,"Deep fry small potatoes until golden and prick all over. | Prepare Kashmiri masala with fennel powder, dry ginger and whole spices. | Heat mustard oil and add whole spices. | Add whisked yogurt mixed with Kashmiri red chilli paste. | Cook on low flame until oil separates. | Add fried potatoes and mix. | Cook on dum adding a little water until potatoes are fully cooked.",https://www.vegrecipesofindia.com/wp-content/uploads/kashmiri-dum-aloo-recipe.jpg,Bold & Aromatic
Mughlai Kofta,"paneer, khoya, cashews, cream, onion paste, whole spices, saffron, rose water, oil, salt",25 minutes,35 minutes,Main Course,Mughlai,"Grate paneer and mix with spices and dry fruits for koftas. | Shape into round balls and deep fry until golden. | Make rich Mughlai gravy with onion paste, cashew paste and cream. | Heat ghee and add whole spices. | Cook the onion-cashew paste until fragrant. | Add tomato puree and cook until thick. | Add cream and koftas and simmer gently.",https://www.vegrecipesofindia.com/wp-content/uploads/mughlai-kofta-recipe.jpg,Rich & Aromatic
Navratan Korma,"nine mixed vegetables and dry fruits, onion, cashews, cream, whole spices, saffron, oil, salt",20 minutes,30 minutes,Main Course,Mughlai,"Fry paneer and mixed vegetables separately in oil or ghee. | Make rich paste by grinding onion, cashews and poppy seeds. | Heat ghee and add whole spices. | Cook the paste until golden and fragrant. | Add cream, saffron milk and sugar. | Add all fried vegetables and paneer. | Simmer gently and garnish with dry fruits.",https://www.vegrecipesofindia.com/wp-content/uploads/navratan-korma-recipe.jpg,Rich & Mild
Hyderabadi Veg Dum Biryani,"basmati rice, mixed vegetables, fried onion, saffron, yogurt, whole spices, ghee, rose water, mint, salt",30 minutes,45 minutes,Main Course,Hyderabad,"Marinate vegetables in yogurt and spices. | Partially cook rice. | Layer vegetables and rice. | Add saffron, fried onion, ghee and rose water. | Seal and cook on dum. | Serve with raita.",https://www.vegrecipesofindia.com/wp-content/uploads/hyderabadi-biryani-recipe.jpg,Aromatic & Spiced
Tawa Pulao,"cooked rice, mixed vegetables, pav bhaji masala, onion, tomato, butter, coriander, lemon, salt",10 minutes,15 minutes,Main Course,Maharashtra,"Cook rice and keep aside. | Heat butter on a tawa and add pav bhaji masala. | Add onion, tomato and capsicum and cook on high flame. | Add peas, boiled potato cubes and spices. | Toss vegetables well on high heat. | Add rice and mix lightly. | Serve topped with butter and chopped coriander.",https://www.vegrecipesofindia.com/wp-content/uploads/tawa-pulao-recipe.jpg,Spicy & Savory
Rajma Chawal,"kidney beans, rice, onion, tomato, ginger, garlic, cumin, garam masala, oil, salt",10 minutes,40 minutes,Main Course,Punjab,"Soak and pressure cook rajma. | Saut̩ onion, ginger, garlic, tomatoes. | Add spices and cooked rajma. | Simmer until thick. | Serve with steamed rice and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/rajma-chawal-recipe.jpg,Hearty & Savory
Dal Khichdi,"rice, toor dal, moong dal, turmeric, cumin, ghee, asafoetida, salt",10 minutes,25 minutes,Main Course,Gujarat,"Wash rice and moong dal together. | Heat ghee in a pressure cooker and add cumin seeds. | Add onion and saute briefly. | Add ginger, turmeric and salt. | Add rice and dal mixture and water. | Pressure cook for 3 whistles until soft and mushy. | Prepare tempering of ghee, cumin, dry chilli and asafoetida and pour over.",https://www.vegrecipesofindia.com/wp-content/uploads/dal-khichdi-recipe.jpg,Comforting & Mild
Masala Khichdi,"rice, moong dal, mixed vegetables, cumin, ginger, green chilli, turmeric, garam masala, ghee, salt",10 minutes,25 minutes,Main Course,North Indian,"Saut̩ cumin, ginger and vegetables in ghee. | Add rice, dal, turmeric and spices. | Add water and cook until soft. | Finish with ghee. | Serve hot with papad and pickle.",https://www.vegrecipesofindia.com/wp-content/uploads/masala-khichdi-recipe.jpg,Spiced & Comforting
Peas Kachori,"maida, green peas, ginger, green chilli, cumin, fennel, asafoetida, oil, salt",30 minutes,25 minutes,Snack,Rajasthan,"Make filling with fresh or dried peas, ginger and spices. | Grind or mash peas coarsely with coriander. | Make dough with maida and oil and rest. | Stuff dough balls with pea filling and seal. | Roll gently into flat kachoris. | Deep fry on medium heat until golden and crispy. | Serve with tamarind chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/matar-kachori-recipe.jpg,Crispy & Savory
Khasta Kachori,"maida, urad dal, fennel, cumin, asafoetida, oil, salt",30 minutes,25 minutes,Snack,Uttar Pradesh,Make filling with moong dal mixed with spices and dry mango powder. | Knead maida with oil and a pinch of salt into a stiff dough. | Stuff dough balls with dal filling. | Roll gently without seams showing. | Deep fry on low flame until very crispy and golden. | Drain well. | Serve with tamarind chutney.,https://www.vegrecipesofindia.com/wp-content/uploads/khasta-kachori-recipe.jpg,Crispy & Spiced
Pyaz Kachori,"maida, onion, fennel, dry red chilli, coriander, amchur, oil, salt",25 minutes,25 minutes,Snack,Rajasthan,"Prepare dough with maida and oil. | Saut̩ onion with fennel, chilli and spices for filling. | Cool and stuff into dough. | Deep fry until golden and crisp. | Serve hot with tamarind chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/pyaz-kachori-recipe.jpg,Pungent & Crispy
Mathri,"maida, ghee, ajwain, black pepper, salt",20 minutes,25 minutes,Snack,North Indian,"Mix maida with ghee, ajwain, pepper and salt. | Add water to form stiff dough. | Roll thin and cut into shapes. | Deep fry on low heat until crisp. | Store in airtight container.",https://www.vegrecipesofindia.com/wp-content/uploads/mathri-recipe.jpg,Crispy & Savory
Nimki,"maida, nigella seeds, ghee, salt",20 minutes,20 minutes,Snack,West Bengal,"Mix maida with ghee, nigella seeds and salt. | Add water and knead stiff dough. | Roll thin and cut into diamond shapes. | Deep fry until crisp. | Store and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/nimki-recipe.jpg,Crispy & Mild
Shakarpare,"maida, sugar, ghee, cardamom, oil",15 minutes,25 minutes,Snack,North Indian,"Mix maida with oil, sugar and cardamom powder. | Knead into a stiff dough using water. | Roll out into a thick sheet. | Cut into diamond or square shapes. | Deep fry on medium-low heat until golden. | Drain on paper towels. | Cool completely before storing.",https://www.vegrecipesofindia.com/wp-content/uploads/shakarpare-recipe.jpg,Sweet & Crispy
Gujiya,"maida, khoya, sugar, cardamom, cashews, raisins, coconut, ghee, oil",30 minutes,30 minutes,Dessert,Rajasthan,"Make pastry dough with maida and ghee and rest. | Make filling with khoya, sugar, coconut and dry fruits. | Roll dough thin and cut into circles. | Fill one half with khoya mixture and fold over. | Seal edges by crimping or pressing. | Deep fry in ghee until golden brown. | Soak in sugar syrup or dust with icing sugar.",https://www.vegrecipesofindia.com/wp-content/uploads/gujiya-recipe.jpg,Sweet & Crispy
Karanji,"maida, fresh coconut, jaggery, cardamom, poppy seeds, oil",30 minutes,25 minutes,Dessert,Maharashtra,"Prepare dough with maida, ghee and a pinch of salt. | Make filling with coconut, jaggery, sesame seeds and cardamom. | Roll dough into small circles. | Place filling on one half and fold over. | Seal edges firmly by crimping with a fork. | Deep fry on medium heat until golden. | Cool and store.",https://www.vegrecipesofindia.com/wp-content/uploads/karanji-recipe.jpg,Sweet & Coconuty
Mewa Barfi,"cashews, almonds, pistachios, sugar, ghee, cardamom",10 minutes,25 minutes,Dessert,North Indian,"Chop all dry fruits including cashews, almonds, pistachios and dates. | Heat ghee and add the chopped dry fruits. | Roast lightly until fragrant. | Add condensed milk and mix well. | Cook stirring until mixture thickens and leaves the pan. | Add cardamom and saffron. | Press into a greased tray, cool and cut into pieces.",https://www.vegrecipesofindia.com/wp-content/uploads/mewa-barfi-recipe.jpg,Sweet & Nutty
Chikki,"peanuts, jaggery, ghee",10 minutes,15 minutes,Snack,Maharashtra,Dry roast peanuts until light golden and rub off skins. | Heat jaggery with a little water to hard crack stage. | Test by dropping a drop in cold water. | Add roasted peanuts and mix quickly off heat. | Pour onto a greased surface and flatten with a rolling pin. | Cut into rectangles while still warm. | Cool completely until hard and brittle.,https://www.vegrecipesofindia.com/wp-content/uploads/chikki-recipe.jpg,Sweet & Crunchy
Sesame Chikki,"sesame seeds, jaggery, ghee",10 minutes,15 minutes,Snack,Maharashtra,Dry roast sesame seeds until golden. | Heat jaggery with water to hard crack stage. | Test consistency in cold water. | Add roasted sesame seeds and mix quickly. | Pour onto greased surface and spread thin. | Cut into pieces while still warm. | Cool completely until hard and store.,https://www.vegrecipesofindia.com/wp-content/uploads/sesame-chikki-recipe.jpg,Sweet & Nutty
Khaman Dhokla,"besan, yogurt, turmeric, green chilli paste, ginger, lemon juice, baking soda, mustard seeds, curry leaves, sugar, oil, salt",15 minutes,20 minutes,Snack,Gujarat,"Mix besan with curd, ginger-chilli paste and lemon juice. | Add water to make a smooth thick batter. | Add eno fruit salt and mix gently. | Pour into a greased steaming tray immediately. | Steam for 15 minutes until a toothpick comes out clean. | Cool for 5 minutes and cut into squares. | Pour tempering of oil, mustard, curry leaves and green chilli over.",https://www.vegrecipesofindia.com/wp-content/uploads/khaman-dhokla-recipe.jpg,Spongy & Tangy
Handvo,"rice, mixed dals, grated bottle gourd, sesame, fenugreek, onion, green chilli, ginger, oil, salt",8 hours (soaking and fermentation),30 minutes,Snack,Gujarat,"Soak and grind rice and dals. | Ferment batter overnight. | Add grated lauki, onion, spices. | Pour in greased pan. | Top with sesame and bake or cook on tawa. | Serve with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/handvo-recipe.jpg,Savory & Tangy
Thepla,"wheat flour, besan, fenugreek leaves, yogurt, turmeric, red chilli, oil, salt",15 minutes,20 minutes,Snack,Gujarat,"Mix both flours with methi, yogurt and spices. | Knead soft dough. | Roll thin and cook on tawa with oil. | Cook until golden on both sides. | Serve with pickle and yogurt.",https://www.vegrecipesofindia.com/wp-content/uploads/thepla-recipe.jpg,Spiced & Savory
Undhiyu,"surti papdi, sweet potato, baby brinjal, raw banana, potato, muthia (fenugreek dumplings), coconut, green garlic, spices, oil",30 minutes,45 minutes,Main Course,Gujarat,"Prepare muthia with besan and methi. | Stuff brinjals with spice paste. | Layer all vegetables and muthia. | Add coconut, green garlic and oil. | Cook on slow heat until done. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/undhiyu-recipe.jpg,Complex & Spiced
Sev Tameta,"tomatoes, sev, sugar, turmeric, mustard seeds, curry leaves, oil, salt",5 minutes,15 minutes,Main Course,Gujarat,"Heat oil and temper mustard seeds and curry leaves. | Add chopped tomatoes, turmeric and salt. | Cook until tomatoes are soft. | Add sugar. | Top generously with sev. | Serve immediately.",https://www.vegrecipesofindia.com/wp-content/uploads/sev-tameta-recipe.jpg,Sweet & Tangy
Ringan Nu Shaak,"brinjal, peanuts, sesame, coconut, tamarind, jaggery, spices, mustard oil, salt",15 minutes,25 minutes,Main Course,Gujarat,"Stuff brinjal with ground peanut, sesame and coconut mixture. | Heat oil and temper spices. | Add stuffed brinjals and cover. | Cook on low heat until tender. | Add tamarind and jaggery. | Serve.",https://www.vegrecipesofindia.com/wp-content/uploads/ringan-shaak-recipe.jpg,Sweet & Tangy
Bateta Nu Shaak,"potato, mustard seeds, turmeric, sugar, lemon juice, green chilli, curry leaves, oil, salt",10 minutes,15 minutes,Main Course,Gujarat,"Heat oil and temper mustard seeds and curry leaves. | Add diced boiled potato. | Add turmeric, green chilli and salt. | Add sugar and lemon juice. | Toss and serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/bateta-shaak-recipe.jpg,Sweet & Tangy
Dudhi Kofta Curry,"bottle gourd, besan, yogurt, onion, tomato, garam masala, cream, oil, salt",20 minutes,30 minutes,Main Course,Gujarat,"Grate bottle gourd and squeeze out water. | Mix with besan, spices and coriander to form kofta mixture. | Shape into balls and deep fry until golden. | Make onion-tomato-cashew gravy. | Cook gravy until oil separates. | Add cream or coconut milk. | Add koftas just before serving and simmer gently.",https://www.vegrecipesofindia.com/wp-content/uploads/dudhi-kofta-recipe.jpg,Mild & Creamy
Gaathi,"raw peanuts, jaggery, sesame, dry coconut, oil, salt",10 minutes,20 minutes,Snack,Maharashtra,"Roast peanuts until crunchy. | Melt jaggery and cook until sticky. | Add peanuts, sesame and coconut. | Mix quickly. | Pour on greased surface and flatten. | Cool and cut.",https://www.vegrecipesofindia.com/wp-content/uploads/gaathi-recipe.jpg,Sweet & Crunchy
Kanda Bhaji,"onion, besan, green chilli, coriander, ajwain, red chilli powder, oil, salt",10 minutes,15 minutes,Snack,Maharashtra,Slice onions thinly into half rings. | Make a thick besan batter with spices and green chilli. | Add onion rings to the batter and mix well. | Drop spoonfuls of batter with onions into hot oil. | Fry until deep golden and crispy. | Drain on paper towels. | Serve immediately with green chutney.,https://www.vegrecipesofindia.com/wp-content/uploads/kanda-bhaji-recipe.jpg,Crispy & Savory
Rava Upma,"semolina, onion, green chilli, ginger, mustard seeds, urad dal, curry leaves, cashews, oil, salt",5 minutes,15 minutes,Breakfast,Karnataka,"Roast semolina and keep aside. | Temper mustard seeds, urad dal and cashews. | Saut̩ onion, chilli and ginger. | Add water and bring to boil. | Add rava slowly while stirring. | Cover and cook. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/rava-upma-recipe.jpg,Savory & Mild
Set Dosa,"rice, urad dal, poha, fenugreek seeds, salt, oil",8 hours (fermentation),15 minutes,Breakfast,Karnataka,"Soak and grind rice, dal, poha and fenugreek. | Ferment batter overnight. | Pour thick rounds on hot tawa. | Cover and cook until set. | Serve three in a set with chutney and sambar.",https://www.vegrecipesofindia.com/wp-content/uploads/set-dosa-recipe.jpg,Soft & Mild
Neer Dosa,"raw rice, grated coconut, water, salt, oil",4 hours (soaking),15 minutes,Breakfast,Karnataka,Soak raw rice for 4-6 hours and grind to a very thin batter. | Add water to make it almost watery in consistency. | Add salt and mix. | Heat a non-stick tawa and grease lightly. | Pour batter and swirl to spread very thin. | Cover and cook briefly until done. | Fold gently and serve with coconut chutney.,https://www.vegrecipesofindia.com/wp-content/uploads/neer-dosa-recipe.jpg,Delicately Mild
Kuzhi Paniyaram,"idli/dosa batter, onion, green chilli, ginger, mustard seeds, curry leaves, oil",10 minutes,15 minutes,Breakfast,Tamil Nadu,"Add tempered onion, chilli and spices to batter. | Heat paniyaram pan and grease. | Pour batter into cavities. | Cook on medium heat, flip with stick. | Cook until golden on both sides. | Serve with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/kuzhi-paniyaram-recipe.jpg,Crispy & Savory
Appam,"raw rice, grated coconut, yeast, sugar, salt",8 hours (fermentation),15 minutes,Breakfast,Kerala,Soak raw rice and grind with coconut and a little cooked rice. | Add toddy or yeast and ferment overnight. | The batter should be smooth and slightly sour. | Heat an appam tawa and grease lightly. | Pour a ladle of batter and swirl in a circular motion. | Cover and cook until center is set and edges are lacy. | Serve with stew or coconut milk.,https://www.vegrecipesofindia.com/wp-content/uploads/appam-recipe.jpg,Soft & Mild
Puttu,"rice flour, grated coconut, salt, water",10 minutes,10 minutes,Breakfast,Kerala,Mix rice flour with salt and a little water until crumbly. | The texture should be like damp sand. | Layer coconut and rice flour alternately in the puttu maker. | Steam for 7-10 minutes until cooked through. | Unmould by pushing the piston. | Serve immediately while hot. | Serve with kadala curry or banana and sugar.,https://www.vegrecipesofindia.com/wp-content/uploads/puttu-recipe.jpg,Mild & Coconuty
Kadala Curry,"black chickpeas, coconut, dry red chilli, coriander seeds, onion, mustard seeds, curry leaves, oil, salt",8 hours (soaking),35 minutes,Main Course,Kerala,Soak black chickpeas overnight and pressure cook until soft. | Roast coconut with spices and onion until dark brown. | Grind the roasted mixture to a paste. | Heat coconut oil and add mustard seeds and curry leaves. | Add onion and saute until golden. | Add chickpeas and coconut paste with water. | Simmer until thick and serve with appam or puttu.,https://www.vegrecipesofindia.com/wp-content/uploads/kadala-curry-recipe.jpg,Earthy & Coconuty
Varutharacha Sambar,"toor dal, tamarind, vegetables, roasted coconut, red chilli, coriander seeds, curry leaves, oil, salt",20 minutes,40 minutes,Main Course,Kerala,"Roast coconut, spices and lentils until dark and grind to paste. | Cook toor dal until soft. | Prepare tamarind extract. | Cook vegetables of choice. | Combine dal, tamarind and vegetables. | Add the roasted coconut paste and sambar powder. | Boil and add tempering of mustard seeds and curry leaves.",https://www.vegrecipesofindia.com/wp-content/uploads/varutharacha-sambar-recipe.jpg,Deep & Coconuty
Inji Curry,"ginger, tamarind, jaggery, dry red chilli, mustard seeds, curry leaves, fenugreek, oil, salt",10 minutes,20 minutes,Side Dish,Kerala,Peel and finely chop or grind ginger to a paste. | Fry ginger paste in coconut oil until golden. | Add tamarind pulp and jaggery. | Mix in red chilli powder and salt. | Cook until thick and oil appears on surface. | Add tempering of mustard seeds and curry leaves. | Store and serve as a condiment.,https://www.vegrecipesofindia.com/wp-content/uploads/inji-curry-recipe.jpg,Sweet & Pungent
Manga Curry,"raw mango, coconut, green chilli, cumin, mustard seeds, curry leaves, red chilli, coconut oil, salt",15 minutes,20 minutes,Side Dish,Kerala,"Cook raw mango until soft. | Grind coconut with green chilli and cumin. | Mix paste with mango. | Temper mustard seeds, curry leaves and red chilli. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/manga-curry-recipe.jpg,Tangy & Mild
Puli Inji,"ginger, tamarind, green chilli, jaggery, mustard seeds, fenugreek, curry leaves, turmeric, oil, salt",10 minutes,20 minutes,Condiment,Tamil Nadu,"Sweet, Sour & Pungent",,
Thayir Pachadi,"yogurt, cucumber, grated coconut, green chilli, ginger, mustard seeds, curry leaves, oil, salt",10 minutes,5 minutes,Side Dish,Kerala,"Mix yogurt with grated coconut, green chilli and ginger. | Add grated cucumber. | Temper mustard seeds and curry leaves. | Mix into yogurt. | Serve chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/thayir-pachadi-recipe.jpg,Cool & Mild
Kichadi,"cucumber, yogurt, coconut, green chilli, mustard seeds, curry leaves, oil, salt",10 minutes,5 minutes,Side Dish,Kerala,"Cook cucumber briefly. | Grind coconut with chilli. | Mix cooked cucumber, coconut paste and yogurt. | Temper mustard seeds and curry leaves. | Mix and serve as part of Kerala meal.",https://www.vegrecipesofindia.com/wp-content/uploads/kichadi-recipe.jpg,Cool & Tangy
Injipuli (Onam Sadya),"fresh ginger, tamarind paste, jaggery, turmeric, green chilli, mustard seeds, fenugreek seeds, curry leaves, oil, salt",10 minutes,20 minutes,Condiment,Kerala,"Roast ginger in coconut oil until golden. | Make paste of green chilli and ginger. | Cook tamarind extract with jaggery and spices. | Add ginger-chilli paste and cook. | Add turmeric and red chilli powder. | Prepare tempering with mustard seeds, curry leaves and dry red chilli. | Pour tempering and simmer until thick.",https://www.vegrecipesofindia.com/wp-content/uploads/injipuli-recipe.jpg,Sweet & Pungent
Cabbage Thoran,"cabbage, grated coconut, green chilli, mustard seeds, curry leaves, turmeric, oil, salt",10 minutes,15 minutes,Side Dish,Kerala,"Shred cabbage finely. | Temper mustard seeds and curry leaves. | Add cabbage, turmeric, green chilli and salt. | Cover and cook briefly. | Add coconut and mix. | Serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/cabbage-thoran-recipe.jpg,Light & Coconuty
Parippu Curry,"moong dal, grated coconut, turmeric, green chilli, garlic, cumin, mustard seeds, curry leaves, coconut oil, salt",10 minutes,20 minutes,Main Course,Kerala,"Cook moong dal with turmeric. | Grind coconut with chilli, garlic and cumin. | Add paste to dal. | Simmer. | Temper mustard seeds and curry leaves in coconut oil. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/parippu-curry-recipe.jpg,Mild & Coconuty
Pappadam,"urad dal flour, black pepper, cumin, salt, oil",30 minutes,5 minutes,Side Dish,Kerala,Mix urad dal flour with salt and asafoetida. | Knead into a very stiff dough. | Take tiny balls and roll paper thin using a rolling pin. | Sun dry or oven dry until completely crisp. | Store uncooked pappadams in an airtight container. | Deep fry in hot oil for a few seconds until they puff. | Or roast directly on flame until blistered.,https://www.vegrecipesofindia.com/wp-content/uploads/pappadam-recipe.jpg,Crispy & Savory
Sambhariya Bharela Karela,"bitter gourd, besan, peanuts, grated coconut, sesame, coriander-cumin powder, jaggery, oil, salt",20 minutes,30 minutes,Main Course,Gujarat,"Scoop out karela and marinate. | Prepare filling with besan, peanuts, coconut and jaggery. | Stuff karela and tie with thread. | Shallow fry turning occasionally. | Serve hot with roti.",https://www.vegrecipesofindia.com/wp-content/uploads/bharela-karela-recipe.jpg,Bitter & Sweet
